gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,adresse,latitude,longitude
Helligkorsgade 22 A,6000,Kolding,1,"770 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,"Helligkorsgade 22 A, 6000 Kolding, danmark",55.4890554,9.475088
Idyl 21,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,"Idyl 21, 6000 Kolding, danmark",55.4771507,9.5109088
Idyl 23,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,"Idyl 23, 6000 Kolding, danmark",55.4771271,9.5110417
Idyl 25,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,"Idyl 25, 6000 Kolding, danmark",55.47647019999999,9.5140224
Idyl 27,6000,Kolding,1,"2-delt 370 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,370,False,"Idyl 27, 6000 Kolding, danmark",55.4769751,9.5153851
Idyl 29,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,"Idyl 29, 6000 Kolding, danmark",55.4751293,9.5148313
Jernbanegade 1 C,6000,Kolding,1,"660 l. con, rest, med lås","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,True,660,False,"Jernbanegade 1 C, 6000 Kolding, danmark",55.49026199999999,9.474436
Jernbanegade 1 C,6000,Kolding,1,"400 l .con, rest, med lås","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,True,400,False,"Jernbanegade 1 C, 6000 Kolding, danmark",55.49026199999999,9.474436
Jernbanegade 1 C,6000,Kolding,1,"240 l. beholder, mad, med lås","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,True,240,False,"Jernbanegade 1 C, 6000 Kolding, danmark",55.49026199999999,9.474436
Jernbanegade 1 E,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,"Jernbanegade 1 E, 6000 Kolding, danmark",55.4903096,9.474707
Jernbanegade 1 E,6000,Kolding,1,"140 l beholder, mad - sætter f","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,140,False,"Jernbanegade 1 E, 6000 Kolding, danmark",55.4903096,9.474707
Jernbanegade 3,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,"Jernbanegade 3, 6000 Kolding, danmark",55.49032889999999,9.4749972
Jernbanegade 3,6000,Kolding,1,"190 l. beholder, mad","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,190,False,"Jernbanegade 3, 6000 Kolding, danmark",55.49032889999999,9.4749972
Jernbanegade 3,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,"Jernbanegade 3, 6000 Kolding, danmark",55.49032889999999,9.4749972
Jernbanegade 4,6000,Kolding,1,"130 l. sæk, resta - sætte frem","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,130,True,"Jernbanegade 4, 6000 Kolding, danmark",55.490128,9.474245
Jernbanegade 4,6000,Kolding,1,"90 l. sæk, mad - sætte frem","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,90,True,"Jernbanegade 4, 6000 Kolding, danmark",55.490128,9.474245
Jernbanegade 6 03,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,"Jernbanegade 6 03, 6000 Kolding, danmark",55.4900077,9.4743539
